Time,Time from zero,Wear(vol)
1351.500064,29.5000014,0.045710202
1351.600064,29.60000141,0.045777224
1351.700064,29.70000141,0.046036933
1351.800064,29.80000142,0.047583196
1351.900064,29.90000142,0.048880402
1352.000064,30.00000142,0.051480234
1352.100064,30.10000143,0.052212052
1352.200064,30.20000143,0.054417774
1352.300064,30.30000144,0.053772338
1352.400064,30.40000144,0.060061526
1352.500064,30.50000145,0.058982901
1352.600064,30.60000145,0.053193048
1352.700064,30.70000146,0.050690126
1352.800064,30.80000146,0.050633252
1352.900064,30.90000147,0.050216682
1353.000064,31.00000147,0.049299579
1353.100064,31.10000148,0.045261357
1353.200064,31.20000148,0.041396286
1353.300064,31.30000149,0.041120052
1353.400064,31.40000149,0.042260561
1353.500064,31.5000015,0.042349242
1353.600064,31.6000015,0.042711936
1353.700064,31.70000151,0.046123687
1353.800064,31.80000151,0.052968133
1353.900064,31.90000152,0.053108007
1354.000064,32.00000152,0.047859654
1354.100064,32.10000152,0.048732735
1354.200064,32.20000153,0.051172063
1354.300064,32.30000153,0.04799832
1354.400064,32.40000154,0.046469957
1354.500064,32.50000154,0.048200063
1354.600064,32.60000155,0.049855035
1354.700064,32.70000155,0.044972017
1354.800064,32.80000156,0.038857054
1354.900064,32.90000156,0.036743224
1355.000064,33.00000157,0.036666095
1355.100064,33.10000157,0.036902409
1355.200064,33.20000158,0.036955409
1355.300064,33.30000158,0.03687812
1355.400064,33.40000159,0.03674642
1355.500064,33.50000159,0.036708917
1355.600064,33.6000016,0.037101768
1355.700064,33.7000016,0.044020321
1355.800064,33.80000161,0.046526782
1355.900064,33.90000161,0.045406803
1356.000064,34.00000161,0.053142838
1356.100064,34.10000162,0.057289362
1356.200064,34.20000162,0.058719166
1356.300064,34.30000163,0.060527891
1356.400064,34.40000163,0.051725183
1356.500064,34.50000164,0.048313182
1356.600064,34.60000164,0.061221808
1356.700064,34.70000165,0.061629675
1356.800064,34.80000165,0.058648784
1356.900064,34.90000166,0.056805804
1357.000064,35.00000166,0.062209368
1357.100064,35.10000167,0.070020214
1357.200064,35.20000167,0.073201738
1357.300064,35.30000168,0.081345588
1357.400064,35.40000168,0.084060691
1357.500064,35.50000169,0.069987096
1357.600064,35.60000169,0.060086563
1357.700064,35.7000017,0.058793664
1357.800064,35.8000017,0.05884191
1357.900064,35.90000171,0.057916902
1358.000065,36.00000171,0.056784112
1358.100065,36.10000171,0.056063704
1358.200065,36.20000172,0.0557542
1358.300065,36.30000172,0.055403635
1358.400065,36.40000173,0.055233393
1358.500065,36.50000173,0.055157211
1358.600065,36.60000174,0.054844178
1358.700065,36.70000174,0.054619074
1358.800065,36.80000175,0.054485839
1358.900065,36.90000175,0.054310046
1359.000065,37.00000176,0.054203544
1359.100065,37.10000176,0.054208405
